phase,prompt_id,family,tail,label,d_n_active_features,d_edge_density,d_mean_top50_score,d_top10_over_top50,d_layer_entropy,d_mean_error_node_weight,d_logit_gap,d_layer_stats_mean,d_layer_stats_std,d_layer_stats_median,d_layer_stats_entropy_bits,d_topk20_score_total,d_topk20_score_gini,d_density_at_0.50,d_density_at_0.60,d_density_at_0.70,d_density_at_0.80,d_density_at_0.90,d_density_at_0.95,d_density_at_0.99,d_n_edges_at_0.50,d_n_edges_at_0.60,d_n_edges_at_0.70,d_n_edges_at_0.80,d_n_edges_at_0.90,d_n_edges_at_0.95,d_n_edges_at_0.99,d_n_edges_total_at_0.50,d_n_edges_total_at_0.60,d_n_edges_total_at_0.70,d_n_edges_total_at_0.80,d_n_edges_total_at_0.90,d_n_edges_total_at_0.95,d_n_edges_total_at_0.99,d_n_kept_at_0.50,d_n_kept_at_0.60,d_n_kept_at_0.70,d_n_kept_at_0.80,d_n_kept_at_0.90,d_n_kept_at_0.95,d_n_kept_at_0.99,d_n_nodes_total_at_0.50,d_n_nodes_total_at_0.60,d_n_nodes_total_at_0.70,d_n_nodes_total_at_0.80,d_n_nodes_total_at_0.90,d_n_nodes_total_at_0.95,d_n_nodes_total_at_0.99
l1,tri_v2_001,numeric_validity,answer_colon,false,922.0,0.0028280067618952354,0.0056980768451467155,0.16077335957099775,0.2667558699480783,0.02022215723991394,-3.501614190344036,-0.253948856612908,-0.0786463960005328,0.0,-0.01014260135007472,0.21227664669277146,0.1516774614645553,0.02324763879579575,0.0028934429183198884,0.0033913819512779164,0.0044144495642084725,0.0029550009300003677,0.0026572791703007304,0.0022240068331975393,-4665.0,-19644.0,-47696.0,-80037.0,-83172.0,-20494.0,60305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-104.0,-127.0,-138.0,-107.0,-70.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,tri_v2_002,numeric_validity,answer_colon,true,618.0,0.0006508319669034368,0.006718402380938642,0.00940845993654793,0.09310309078441081,-0.002561032772064209,2.813831680734453,-0.19207686233678167,0.014790468625204056,0.0,-0.014516272436793543,0.2529408295522444,-0.027237878122503945,0.021008361100566975,0.004250118449320522,0.0008884834671573638,0.0016454494813027687,-0.0010771121206533119,0.00024167861914953237,0.001442602360868045,-3458.0,-15566.0,-39304.0,-59664.0,-71409.0,15999.0,94024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.0,-95.0,-105.0,-91.0,-37.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,tri_v2_003,numeric_validity,true_or_false,false,749.0,-0.005707079676818272,0.004278598245309695,0.1941050818696285,0.057514367038351555,0.020522773265838623,1.125326501957053,-0.29146844712574094,-0.10630977937281028,-1.0,-0.007349228693609433,0.15604845575944637,0.23903154406602165,0.0031955619499025034,-0.0029023301622077002,-0.008455302318587238,-0.005678503424862091,-0.0021773713911861503,-0.0028472203998221035,-0.0017613776813129312,-8904.0,-28494.0,-81843.0,-150783.0,-201813.0,-267441.0,-228974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,-105.0,-126.0,-118.0,-94.0,-70.0,-43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,tri_v2_004,numeric_validity,true_or_false,true,498.0,-0.0036004145317269226,0.0036669764877296984,0.17732055443643202,0.15705281040985497,0.013110578060150146,0.7560935265362025,-0.21965454820398556,-0.05109200903790079,-1.0,-0.004859374736686739,0.1298423295847897,0.20373301446408715,-0.002405765708806823,0.0041724017075020214,-0.0012220322769330438,-0.0036893232376077334,-0.003600518122443108,-0.004003625292624324,-0.003174794175060086,-9210.0,-21154.0,-54476.0,-127760.0,-233047.0,-340108.0,-336642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.0,-94.0,-109.0,-113.0,-94.0,-84.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,tri_v2_005,numeric_validity,true_or_false,false,698.0,-0.007188700628449021,0.0036070452142121213,0.155840260644157,0.02082709594272325,0.01743769645690918,1.125725713039614,-0.19354594778357104,0.00026775879380114276,0.0,-0.002892782305014663,0.1262875715347036,0.19931555935205827,-0.004108771069389061,-0.001748065620747613,-0.0055527263411936645,-0.0078068454138198184,-0.005565783773045341,-0.004392339455744215,-0.003394568339533166,-8984.0,-25139.0,-65380.0,-153614.0,-250338.0,-307146.0,-313577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,-93.0,-108.0,-105.0,-74.0,-59.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,tri_v2_006,numeric_validity,answer_colon,true,1027.0,0.013247181364248878,0.005964044340653345,0.044654590273492056,-0.0442230261683525,-0.0025968551635742188,-4.56577778422723,-0.14943395505969903,-0.007038817445399914,0.0,-0.0089410595082553,0.22727883653715253,-0.00030728729729795345,0.03802771671922778,0.010365019388730051,0.010992312532277532,0.015898104624953863,0.009060904304729028,0.006292789925446185,0.005335574642413021,-1418.0,-9602.0,-15116.0,30810.0,82417.0,124176.0,236332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,-73.0,-88.0,-97.0,-82.0,-68.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,tri_v2_007,numeric_validity,true_or_false,false,711.0,-0.006328959841988058,0.004043070565330709,0.1748019611785005,-0.13379798475375493,0.015990525484085083,1.001126074757217,-0.22028491890130653,-0.07192155108555198,-1.0,-0.010414299225248946,0.1431550901324954,0.1985977043955381,-0.005784138403943706,-0.004197454230292913,-0.008634630730393694,-0.006797479908146636,-0.00456697104207629,-0.0034277960172959254,-0.0031878786277591276,-7963.0,-22421.0,-59921.0,-120439.0,-190875.0,-231085.0,-304981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.0,-74.0,-76.0,-71.0,-47.0,-39.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,tri_v2_008,numeric_validity,the_answer_is,false,550.0,-0.0026104076930143355,0.0059660621896182415,0.10454825546427382,-0.013775862970103692,0.004959285259246826,-2.624692311518345,-0.29039189151556677,-0.10731850497343842,0.0,-0.01446307109626499,0.21540796828776365,0.11436944799592708,0.002074733254067457,-0.010697984548790923,-0.007494014512522185,-0.0017872537965165913,0.0007217663916620765,0.0009420212413843998,0.0022865453617250953,-7394.0,-27867.0,-60925.0,-85233.0,-70606.0,-48865.0,59142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,-112.0,-114.0,-94.0,-61.0,-46.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,tri_v2_009,numeric_open,answer_colon,true,541.0,0.0012403316808993065,-1.314720242362455e-06,0.01323612550662795,-0.37076537488387995,-0.013559281826019287,-3.8914781115330426,-0.23048287548565227,-0.127406899968749,-1.0,-0.005431740065093393,-3.482607084848155e-05,-0.00846844316536588,-0.02664441585354807,-0.01197027433338474,-0.006024739162165893,0.0019706538698051057,0.0040803922124447445,0.004578267298118166,0.006874451716187918,3911.0,27085.0,93436.0,257097.0,462471.0,498707.0,542299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,129.0,204.0,251.0,229.0,151.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,tri_v2_010,numeric_open,answer_colon,true,603.0,-0.0015302033433432088,-4.529508700841234e-06,0.03682333969262447,-0.1561503792837846,-0.012082338333129883,-3.9794145661489457,-0.23607990583561111,-0.12916424964206552,-1.0,-0.007306078403646055,-0.00011943765394306638,0.03500480008804102,-0.007584596626993262,-0.008707788621987345,-0.007918723765262148,-0.0010006777475795592,0.005068495265894729,0.006355249944200725,0.008381857155994071,3874.0,18819.0,62960.0,206591.0,500958.0,629586.0,672727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,95.0,170.0,244.0,251.0,186.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
