phase,family,label,tail,d_n_active_features,d_edge_density,d_mean_top50_score,d_top10_over_top50,d_layer_entropy,d_mean_error_node_weight,d_logit_gap,d_layer_stats_mean,d_layer_stats_std,d_layer_stats_median,d_layer_stats_entropy_bits,d_topk20_score_total,d_topk20_score_gini,d_density_at_0.50,d_density_at_0.60,d_density_at_0.70,d_density_at_0.80,d_density_at_0.90,d_density_at_0.95,d_density_at_0.99,d_n_edges_at_0.50,d_n_edges_at_0.60,d_n_edges_at_0.70,d_n_edges_at_0.80,d_n_edges_at_0.90,d_n_edges_at_0.95,d_n_edges_at_0.99,d_n_edges_total_at_0.50,d_n_edges_total_at_0.60,d_n_edges_total_at_0.70,d_n_edges_total_at_0.80,d_n_edges_total_at_0.90,d_n_edges_total_at_0.95,d_n_edges_total_at_0.99,d_n_kept_at_0.50,d_n_kept_at_0.60,d_n_kept_at_0.70,d_n_kept_at_0.80,d_n_kept_at_0.90,d_n_kept_at_0.95,d_n_kept_at_0.99,d_n_nodes_total_at_0.50,d_n_nodes_total_at_0.60,d_n_nodes_total_at_0.70,d_n_nodes_total_at_0.80,d_n_nodes_total_at_0.90,d_n_nodes_total_at_0.95,d_n_nodes_total_at_0.99
l1,geometry_claim,false,answer_colon,646.1666666666666,-0.013574881136118426,0.006094446902764806,0.10826948356265247,0.03231163257600156,-5.036592483520508e-06,0.8036315940248971,-0.23496736218127237,-0.13487946818017008,-0.3333333333333333,-0.016060222204177244,0.23601715146408728,0.10579071640632176,-0.008445103483292846,-0.02672461463735951,-0.02227329150330132,-0.013756197289029742,-0.007037182844352304,-0.0034223412817453633,0.0003007056514118441,-4710.333333333333,-19122.166666666668,-34948.333333333336,-6821.0,121648.16666666667,202546.0,128586.83333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.666666666666664,-27.333333333333332,19.5,108.0,202.33333333333334,191.66666666666666,50.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,geometry_claim,false,the_answer_is,674.2,-0.010213701655863699,0.006321509437490022,0.11166881142048388,0.10838458870227008,0.0024011313915252687,0.3498536531455838,-0.2500116589121838,-0.158587152778564,-0.2,-0.020784024449227445,0.2394093867158517,0.10232285570917146,-0.0020360467827263418,-0.012350236580073132,-0.012961238036418233,-0.010749342652043237,-0.00519002965715718,-0.0026762457121822627,0.0003008450418964581,-5869.2,-22552.2,-50672.0,-59183.8,28502.8,77091.2,57640.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.6,-75.6,-58.4,17.6,109.4,108.6,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,geometry_claim,false,true_or_false,685.3333333333334,-0.0062528257020414285,0.002978720717959125,0.15453520436541107,-0.13705398930424728,0.014857321977615356,0.625005459622875,-0.20946255842401693,-0.11036952350207112,-0.3333333333333333,-0.010144626229270001,0.10308143099094498,0.21457450137978742,-0.011623803626118085,-0.009817302540847986,-0.007300394167140646,-0.006609901470101695,-0.006580399917823952,-0.005660968598573628,-0.004871632323914225,-8383.666666666666,-25931.5,-61246.833333333336,-127724.5,-241052.66666666666,-317215.3333333333,-394448.1666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.0,-77.0,-90.0,-86.16666666666667,-50.5,-36.0,-25.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,geometry_claim,true,answer_colon,664.6,-0.011236525892236515,0.0064481590058421715,0.09819160721608768,0.06937147031950479,-0.0005923032760620118,4.411711060589055,-0.23224968575812746,-0.13182174183391293,-0.4,-0.01586822205601557,0.24835266834124922,0.09459596070900164,0.0012359761424649341,-0.023481327675520434,-0.018645036519974463,-0.010974629192115847,-0.0059665906167805875,-0.00283669713890764,0.000275569031741707,-4731.6,-22004.0,-41389.2,-26315.2,70161.4,150990.8,99545.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,-47.8,-12.4,59.8,148.2,150.0,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,geometry_claim,true,the_answer_is,667.2,-0.010094858412698396,0.006493200230994261,0.11352555045253751,0.11722158280176372,0.0027645409107208254,2.3715513089057483,-0.2559786089403321,-0.16770270421536929,-0.4,-0.021698553737775583,0.24766784494568128,0.09392739828053553,0.002760817436649071,-0.00961819438382297,-0.011636984539354616,-0.010794774758586112,-0.006250308517425534,-0.003691625016225436,-0.0005494990407511225,-6146.0,-24143.6,-57529.4,-89567.0,-58433.4,-23267.0,-24781.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.4,-89.8,-81.8,-22.4,61.0,73.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,geometry_claim,true,true_or_false,708.6,-0.00637988546630886,0.00301260928222473,0.15145587727440052,-0.1384078798987299,0.014635151624679566,0.7492116276699472,-0.22365018510930987,-0.12062227726911345,-0.4,-0.011017055076787052,0.10440404096443671,0.20533046475200595,-0.010388681122281335,-0.008844750461770457,-0.007214760094067957,-0.006756637659123465,-0.006430714486671313,-0.005406586826906967,-0.004821473671669496,-8077.4,-24456.8,-58943.2,-123735.0,-227779.0,-298841.8,-390169.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.4,-74.6,-86.0,-80.2,-44.0,-32.2,-25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,numeric_open,true,answer_colon,573.6538461538462,-0.00217291401389312,-1.2253942398941465e-06,0.03693225515120099,-0.3262825655467933,-0.011584120301099924,-2.8628645775066497,-0.2286674567787015,-0.11484421039718275,-0.8846153846153846,-0.00797825352618371,-3.2034386158841244e-05,0.03189097509975032,-0.014765040332146694,-0.01159655151249071,-0.008209323625270477,-0.0018645283927594158,0.003325535751306609,0.005060933003142708,0.007094936616654853,4123.615384615385,20835.30769230769,70299.61538461539,200919.57692307694,437639.42307692306,533845.0769230769,560956.1923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.73076923076923,107.46153846153847,177.92307692307693,235.76923076923077,229.42307692307693,159.3846153846154,30.846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,numeric_validity,false,answer_colon,815.2,0.0030386656881233026,0.005506891070381971,0.08472096827571528,0.060870305245753965,0.006244553327560425,-3.1670196652656113,-0.2001377740623768,-0.046090011229685715,0.0,-0.009237208485914507,0.21339021301770117,0.06787249948497473,0.02162628499211094,0.0015112300471836072,0.002408203277451645,0.004613426719672892,0.0034987204562902997,0.002983639863677825,0.003310764615305477,-3746.48,-15778.96,-35076.72,-46295.96,-10193.24,68750.44,163810.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.04,-84.16,-94.04,-94.44,-57.52,-23.16,-21.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,numeric_validity,false,the_answer_is,626.4375,0.0012796717898141338,0.004958862597195263,0.1301286101570598,0.17464159644768631,0.008579820394515991,-1.2689551878985585,-0.2835430569001155,-0.1045399679117926,-0.03125,-0.0150178437806541,0.16836041244741295,0.17940088428736536,0.009409852349413987,0.0029243118015100985,0.0011729309366797789,0.00197117754671615,0.0013467235914082437,0.0012555562233841407,0.0009384823325357464,-7000.53125,-23480.78125,-58371.4375,-105295.15625,-153749.09375,-121785.1875,-47851.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.5625,-114.6875,-135.09375,-143.5,-125.1875,-89.25,-46.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,numeric_validity,false,true_or_false,581.1875,-0.005485164307001212,0.003989378957809322,0.17985259952337587,-0.04102995749554049,0.017354347743093967,0.948141082872606,-0.24500793050548691,-0.0804948927087156,-0.75,-0.0065175108482734,0.14287275384862141,0.21645957365647792,-0.0025365916437939838,-0.003104458664817695,-0.005207858860493016,-0.0055832367394742935,-0.0038293252834160933,-0.00320045988029646,-0.002694928432257899,-9235.65625,-26392.5,-65791.0625,-138945.03125,-214908.21875,-263433.75,-279700.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.96875,-95.3125,-109.6875,-107.09375,-77.40625,-61.875,-38.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1,numeric_validity,true,answer_colon,858.2424242424242,0.0028617151073246634,0.006158741572084678,0.023413633393062017,0.03700847213210135,0.0015437756523941503,-1.7060768757379954,-0.17887680873658024,-0.027349839686634313,0.0,-0.007858138698445344,0.23294183043463185,-0.006615603558654093,0.019568355120684316,0.0017065157856050416,0.0022366632718984884,0.004009949927891419,0.002285291972656435,0.002328648945533439,0.003144961188643982,-2642.3030303030305,-11099.878787878788,-18949.636363636364,-7815.848484848485,43777.454545454544,126965.09090909091,193803.36363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.57575757575758,-65.33333333333333,-61.15151515151515,-45.90909090909091,-3.4242424242424243,21.454545454545453,-3.8181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
