run_id,qid,rank,layer,position,feature_idx,score,score_norm,sign
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,1,0,2,16200,1.456e-05,1.0,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,2,0,22,6051,1.214e-05,0.833594,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,3,0,1,16229,1.194e-05,0.819674,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,4,1,19,14349,1.057e-05,0.725578,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,5,0,1,6083,1.006e-05,0.690708,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,6,1,1,11660,9.66e-06,0.663288,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,7,24,22,4640,9.6e-06,0.658997,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,8,16,22,9223,9.59e-06,0.65865,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,9,21,22,2997,7.99e-06,0.548315,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,10,0,13,8922,7.89e-06,0.541902,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,11,2,21,13635,7.62e-06,0.523109,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,12,0,1,6421,7.4e-06,0.507755,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,13,0,14,2158,7.35e-06,0.504915,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,14,0,1,6381,6.8e-06,0.467089,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,15,0,3,2606,6.57e-06,0.451106,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,16,0,1,8489,6.51e-06,0.446934,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,17,0,1,11167,6.51e-06,0.446701,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,18,0,1,7344,6.5e-06,0.446087,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,19,20,22,9550,6.44e-06,0.441841,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-01,20,18,22,3066,6.22e-06,0.426923,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,1,0,2,16200,1.425e-05,1.0,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,2,0,22,6051,1.184e-05,0.831173,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,3,0,1,16229,1.173e-05,0.82352,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,4,1,19,14349,1.018e-05,0.714456,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,5,0,1,6083,9.81e-06,0.688736,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,6,1,1,11660,9.53e-06,0.668815,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,7,16,22,9223,9.5e-06,0.666928,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,8,24,22,4640,9.36e-06,0.656721,pos
gemma2-2b_Phase_1_math-only_bank_with_4_ar_473c8611d30a,M-02,9,0,13,8922,7.68e-06,0.539276,pos
