run_id,qid,rank,layer,position,feature_idx,score,score_norm,sign
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,1,0,2,16200,2.322e-05,1.0,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,2,24,26,4640,1.747e-05,0.752172,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,3,0,1,16229,1.739e-05,0.748942,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,4,0,26,6051,1.614e-05,0.695066,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,5,1,1,11660,1.357e-05,0.584295,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,6,0,1,6083,1.353e-05,0.582541,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,7,1,23,14349,1.334e-05,0.574409,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,8,2,25,13635,1.322e-05,0.569284,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,9,21,26,2997,1.15e-05,0.495053,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,10,0,17,8922,1.091e-05,0.469741,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,11,0,18,2158,1.082e-05,0.465916,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,12,0,1,6421,9.84e-06,0.423626,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,13,20,26,9550,9.65e-06,0.415643,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,14,0,1,10345,9.61e-06,0.413983,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,15,0,1,6381,9.36e-06,0.403255,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,16,0,1,4855,9.23e-06,0.397599,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,17,0,1,8489,9.16e-06,0.394553,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,18,0,1,7344,8.99e-06,0.387095,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,19,0,1,11167,8.9e-06,0.383483,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-01,20,25,26,13971,8.88e-06,0.382313,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,1,0,2,16200,2.439e-05,1.0,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,2,0,1,16229,1.837e-05,0.753163,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,3,24,26,4640,1.796e-05,0.736551,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,4,0,26,6051,1.688e-05,0.692344,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,5,0,1,6083,1.442e-05,0.591221,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,6,1,1,11660,1.436e-05,0.588743,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,7,1,23,14349,1.383e-05,0.566998,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,8,2,25,13635,1.377e-05,0.564566,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,9,21,26,2997,1.211e-05,0.496761,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,10,0,17,8922,1.149e-05,0.47105,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,11,0,18,2158,1.139e-05,0.466977,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,12,0,1,6421,1.046e-05,0.428843,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,13,20,26,9550,1.038e-05,0.425679,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,14,0,1,10345,1.015e-05,0.416354,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,15,0,1,6381,9.91e-06,0.406216,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,16,0,1,4855,9.79e-06,0.401469,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,17,0,1,8489,9.7e-06,0.397829,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,18,0,1,7344,9.53e-06,0.390842,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,19,0,1,11167,9.39e-06,0.385158,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-02,20,25,26,13971,9.36e-06,0.383965,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,1,0,2,16200,1.861e-05,1.0,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,2,0,1,16229,1.387e-05,0.745354,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,3,0,19,6051,1.298e-05,0.697298,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,4,1,1,11660,1.189e-05,0.638678,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,5,0,1,6083,1.167e-05,0.627203,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,6,24,19,4640,1.004e-05,0.539672,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,7,2,18,13635,9.88e-06,0.530809,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,8,21,19,2997,9.7e-06,0.521238,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,9,1,16,14349,9.63e-06,0.517514,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,10,0,11,2158,9.2e-06,0.494316,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,11,16,19,9223,8.74e-06,0.469564,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,12,0,10,8922,8.72e-06,0.468551,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,13,0,1,6421,8.55e-06,0.459566,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,14,20,19,9550,8.4e-06,0.451538,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,15,0,1,10345,7.84e-06,0.421264,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,16,0,1,6381,7.8e-06,0.419114,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,17,0,1,4855,7.77e-06,0.417353,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,18,0,1,8489,7.71e-06,0.414508,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,19,0,1,11167,7.65e-06,0.411267,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-03,20,0,1,7344,7.48e-06,0.402089,pos
