run_id,qid,rank,layer,position,feature_idx,score,score_norm,sign
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,1,0,2,16200,1e-08,1.0,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,2,24,17,4640,1e-08,0.628054,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,3,0,1,16229,1e-08,0.60134,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,4,0,1,6083,0.0,0.572693,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,5,18,17,10940,0.0,0.555016,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,6,1,1,11660,0.0,0.550412,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,7,25,17,3887,0.0,0.517477,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,8,18,17,15770,0.0,0.492883,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,9,0,4,16200,0.0,0.49112,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,10,0,1,6421,0.0,0.419659,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,11,4,4,6028,0.0,0.398433,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,12,0,1,8489,0.0,0.385371,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,13,0,1,4855,0.0,0.370727,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,14,0,1,7344,0.0,0.369445,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,15,0,1,10345,0.0,0.366999,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,16,0,1,12698,0.0,0.345915,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,17,17,17,6448,0.0,0.338589,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,18,16,17,14143,0.0,0.337731,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,19,0,1,11167,0.0,0.333295,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-01,20,0,1,9026,0.0,0.330922,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-02,1,0,2,16200,0.00010191,1.0,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-02,2,24,17,4640,6.121e-05,0.600608,pos
gemma2-2b_Texas_capital_token_friendly_b59986544628,TX-02,3,0,1,16229,6.114e-05,0.599924,pos
