run_id,qid,rank,layer,position,feature_idx,score,score_norm,sign
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,1,18,23,15770,0.00077243,1.0,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,2,0,2,16200,0.00062131,0.80435,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,3,16,23,14143,0.00055944,0.724259,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,4,19,23,3304,0.00054724,0.708467,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,5,17,23,6448,0.00050717,0.656593,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,6,1,1,11660,0.00040734,0.527342,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,7,0,1,6083,0.00038754,0.50171,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,8,0,1,16229,0.00036995,0.478944,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,9,24,23,4640,0.00035996,0.46601,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,10,0,1,6421,0.00028419,0.36792,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,11,0,5,10815,0.00024441,0.316415,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,12,0,1,8489,0.00023937,0.309888,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,13,0,1,11167,0.00023706,0.306906,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,14,0,1,7344,0.00023655,0.306234,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,15,0,23,16200,0.00023599,0.305521,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,16,22,23,10813,0.00023443,0.303498,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,17,18,23,9094,0.00023398,0.302911,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,18,0,1,4855,0.00023317,0.301862,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,19,0,1,10345,0.0002302,0.298013,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-01,20,18,23,2940,0.00022656,0.293311,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,1,18,23,15770,0.00051141,1.0,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,2,19,23,3304,0.00045036,0.880621,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,3,0,2,16200,0.00042363,0.828343,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,4,17,23,6448,0.00039389,0.770195,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,5,16,23,14143,0.00038374,0.750344,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,6,24,23,4640,0.00027683,0.541309,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,7,1,1,11660,0.00027615,0.539971,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,8,0,1,6083,0.0002673,0.522666,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,9,0,1,16229,0.00025221,0.493167,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,10,0,1,6421,0.00019415,0.379637,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,11,0,1,8489,0.00016503,0.322689,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,12,0,5,10815,0.00016435,0.321364,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,13,0,1,11167,0.00016362,0.319933,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,14,0,1,7344,0.0001621,0.316959,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,15,18,23,2940,0.00016047,0.313769,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,16,0,23,16200,0.00015947,0.311832,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,17,0,1,4855,0.0001593,0.311484,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,18,0,1,10345,0.00015742,0.30781,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,19,17,23,15506,0.0001547,0.302487,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-02,20,0,1,6381,0.00014889,0.291144,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,1,18,26,15770,0.00108743,1.0,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,2,0,2,16200,0.00075739,0.696495,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,3,17,26,6448,0.00062994,0.579295,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,4,16,26,14143,0.00061184,0.562646,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,5,19,26,3304,0.00058145,0.5347,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,6,1,1,11660,0.00049721,0.457233,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,7,0,1,6083,0.00046341,0.42615,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,8,20,26,51,0.00045375,0.417264,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,9,0,1,16229,0.00044593,0.410074,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,10,24,26,4640,0.00044538,0.409568,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,11,0,1,6421,0.00034323,0.315632,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,12,18,26,10940,0.0003247,0.298597,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,13,18,26,9094,0.0003131,0.28793,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,14,8,23,6513,0.00030075,0.276566,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,15,22,26,10813,0.00029987,0.275762,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,16,0,5,10815,0.00029317,0.269601,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,17,0,1,11167,0.00029315,0.269581,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,18,0,1,8489,0.00028813,0.264967,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,19,0,26,16200,0.00028437,0.261507,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-03,20,0,1,7344,0.00028416,0.261314,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,1,0,2,16200,0.00024179,1.0,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,2,19,28,3304,0.0002401,0.993019,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,3,16,28,14143,0.00023816,0.984984,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,4,1,1,11660,0.00015776,0.652468,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,5,0,1,6083,0.00014396,0.595406,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,6,0,1,16229,0.000142,0.587309,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,7,19,28,6538,0.00012909,0.53389,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,8,8,25,6513,0.00012372,0.511706,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,9,18,28,9094,0.0001231,0.509127,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,10,0,1,6421,0.00010977,0.453992,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,11,23,28,2692,0.00010386,0.429553,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,12,9,25,766,0.0001005,0.415653,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,13,24,28,4640,9.863e-05,0.407921,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,14,0,28,16200,9.535e-05,0.394348,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,15,0,1,8489,9.346e-05,0.386546,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,16,17,28,15506,9.334e-05,0.386032,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,17,0,3,14562,9.223e-05,0.381464,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,18,0,1,4855,9.086e-05,0.375784,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,19,0,1,10345,8.995e-05,0.372042,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-04,20,0,1,7344,8.953e-05,0.370302,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,1,0,2,16200,0.00023215,1.0,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,2,16,25,14143,0.00021866,0.941914,pos
gemma2-2b_Triangle_inequality_token_friend_4f7452b194d0,TI-05,3,18,25,15770,0.00017549,0.755939,pos
